timestamp_sec,amplitude_rms,frequency_centroid_hz
0.0,6.316077e-08,7101.475189488761
0.1,3.052019e-05,7.791121823407114
0.2,3.052019e-05,7.791246000269011
0.3,3.052017e-05,7.802959615240422
0.4,3.052019e-05,7.791378138324783
0.5,3.052019e-05,7.818418487836134
0.6,3.0525818e-05,30.667189007072786
0.7,2.9711015e-05,6636.031520805345
0.8,2.9621893e-05,6459.72468550286
0.9,2.984939e-05,6594.910839272443
1.0,2.974753e-05,6782.694401315793
1.1,2.9723673e-05,6674.888261639218
1.2,2.974751e-05,6314.500925336627
1.3,2.9788345e-05,6725.081478526058
1.4,2.9877208e-05,6612.909162348982
1.5,2.9760813e-05,6579.8346625648455
1.6,2.9826722e-05,6457.202023850854
1.7,2.9659783e-05,6690.555660834733
1.8,2.9707922e-05,6638.702319523838
1.9,2.9711e-05,6737.98653143814
2.0,2.9756511e-05,6554.062487576741
2.1,2.9839666e-05,6407.919029220505
2.2,2.9850185e-05,6394.942734265502
2.3,2.9694731e-05,6413.139926583438
2.4,2.9639466e-05,6551.243830378317
2.5,2.9944627e-05,6431.683647052949
2.6,2.9846542e-05,6582.333953825554
2.7,2.9587241e-05,6447.094535425668
2.8,2.979585e-05,6468.677019147322
2.9,2.9798237e-05,6696.695986252356
3.0,2.9820627e-05,6555.757437098709
3.1,2.9669458e-05,6612.93644077482
3.2,2.9788669e-05,6788.494157026431
3.3,2.9738245e-05,6540.070147246401
3.4,3.8339505e-05,5159.850894585815
3.5,0.061783157,6377.988241753652
3.6,0.049843952,2984.199130560184
3.7,0.037097663,2763.2339569491733
3.8,0.018343706,3203.5132919161456
3.9,0.0054005655,2529.2250524410592
4.0,0.00021986924,2879.09634622276
4.1,0.020028513,2956.596258619061
4.2,0.051498134,6639.025251224668
4.3,0.022789143,4100.369603688339
4.4,0.020872213,6162.384550272664
4.5,0.013443643,2869.938429294929
4.6,0.021918936,4253.853067919654
4.7,0.0014100493,1677.970348647424
4.8,0.024003997,2631.77707562515
4.9,0.04155585,1921.2395004002044
5.0,0.022611134,1928.2389462945089
5.1,0.06741574,6327.391086534359
5.2,0.005341226,2669.842320435854
5.3,0.01479493,3116.7337869125795
5.4,0.011259618,3279.8796643526885
5.5,0.027665218,3116.3815282010946
5.6,0.014982598,3794.1557167119786
5.7,0.0035304853,3284.5936099219175
5.8,0.0013267377,728.3347706530504
5.9,2.9692603e-05,6460.395406238786
6.0,2.9857527e-05,5894.197575824137
6.1,2.9663372e-05,6305.229051928889
6.2,2.9662171e-05,6525.87489223167
6.3,2.9776395e-05,6584.507686140891
6.4,2.9678282e-05,6841.725488288197
6.5,2.9789417e-05,6285.173313870161
6.6,2.9715979e-05,6791.328713644202
6.7,2.9769282e-05,6779.76543389999
6.8,2.958894e-05,6864.3255356444315
6.9,2.9741184e-05,6498.068117454441
7.0,2.916912e-05,2795.537849551441
7.1,1.7518103e-05,6088.8241098524395
7.2,0.061945222,2163.0943141866337
7.3,0.05257388,2001.677571435598
7.4,0.0033255536,2570.4468974872707
7.5,0.0012050845,740.7043554366044
7.6,0.00018070404,5733.037392348926
7.7,0.036526706,2150.1259402599553
7.8,0.027122296,2690.6482716905866
7.9,0.006314694,3322.8957178719306
8.0,0.05458736,1556.6184949240483
8.1,0.02269144,1790.8594364402977
8.2,0.000401276,3280.376562654424
8.3,0.0020080986,1408.7350830970513
8.4,0.021542897,3382.031918144108
8.5,0.023044938,3263.4679259619365
8.6,0.01563347,3354.3804071541863
8.7,0.0039947107,3474.1861597570182
8.8,0.0023971472,2153.70558008079
8.9,0.00026584062,2445.458006941926
9.0,2.9694354e-05,6704.3826984544085
9.1,2.9719778e-05,6632.31919842263
9.2,2.983729e-05,6464.780376124074
9.3,2.9776756e-05,6635.645973052892
9.4,2.9777548e-05,6418.190937709791
9.5,2.978644e-05,6554.139895058475
9.6,2.9791794e-05,6533.234744194022
9.7,2.9800181e-05,6432.96609335862
9.8,2.990606e-05,6453.5038774830755
9.9,2.9825333e-05,6737.979610615808
10.0,2.9707939e-05,6621.169834250993
10.1,2.9697145e-05,6309.684170796394
10.2,2.9651308e-05,6520.641407442788
10.3,2.9846622e-05,6589.332470833411
10.4,1.0422304e-05,7741.018507739436
10.5,2.709408e-05,6456.982494339916
10.6,4.1932053e-05,5054.891416413098
