timestamp_sec,amplitude_rms,frequency_centroid_hz
0.0,0.0,0.0
0.1,0.0,0.0
0.2,0.0,0.0
0.3,0.0,0.0
0.4,0.0,0.0
0.5,0.0,0.0
0.6,0.0,0.0
0.7,0.0,0.0
0.8,0.0,0.0
0.9,0.0,0.0
1.0,0.0,0.0
1.1,0.0,0.0
1.2,0.0,0.0
1.3,0.0,0.0
1.4,0.0,0.0
1.5,0.0,0.0
1.6,0.0,0.0
1.7,0.0,0.0
1.8,0.0,0.0
1.9,0.0,0.0
2.0,0.0,0.0
2.1,0.0,0.0
2.2,0.0,0.0
2.3,0.0,0.0
2.4,0.0,0.0
2.5,0.0,0.0
2.6,0.0,0.0
2.7,0.0,0.0
2.8,0.0,0.0
2.9,0.0,0.0
3.0,0.0,0.0
3.1,0.0,0.0
3.2,0.0,0.0
3.3,0.0,0.0
3.4,0.0,0.0
3.5,0.0,0.0
3.6,0.0,0.0
3.7,6.484334e-10,13706.259164358311
3.8,4.5104537e-07,14194.585528142325
3.9,1.0744482e-06,14952.924954542279
4.0,7.1343277e-07,12105.700229188335
4.1,0.00036800455,5162.936643546326
4.2,0.012002324,11934.128379677437
4.3,0.0134910885,10833.830387760558
4.4,0.0298638,4247.03263396028
4.5,0.018302722,1169.7356972606935
4.6,3.3024575e-05,14504.35271967414
4.7,0.021321192,2510.3068376073434
4.8,0.014437767,3326.6174222951445
4.9,0.008947784,4169.395144141341
5.0,0.0067483676,5579.965478274025
5.1,0.00046359087,5270.850866451719
5.2,5.549228e-06,12070.890171040906
5.3,8.655677e-07,14216.504317149956
5.4,1.30871065e-08,14317.567327592355
5.5,0.0,0.0
5.6,0.0,0.0
5.7,0.0,0.0
5.8,0.0,0.0
5.9,0.0,0.0
6.0,0.0,0.0
6.1,1.923144e-17,104.76772256867082
6.2,8.56769e-08,14178.228695620306
6.3,1.2962553e-06,14739.110390298276
6.4,1.4970381e-07,15675.447171864482
6.5,8.298183e-05,9013.761888475954
6.6,0.018748708,12223.39357607267
6.7,0.020320678,4983.214843556999
6.8,0.022621889,1387.8199461407748
6.9,6.184907e-05,12260.04304178319
7.0,0.023902318,2409.2864446288677
7.1,0.023385532,2700.0542382679923
7.2,0.014484482,5140.204542996786
7.3,0.0074404646,5585.031214323787
7.4,0.00022706197,8241.573917869588
7.5,1.1212985e-05,13254.942213571183
7.6,5.0451877e-07,13896.4375180242
7.7,1.2155184e-09,14211.037812997143
7.8,9.382575e-10,14153.398614029406
7.9,6.694322e-10,14073.612718796508
8.0,4.2585e-10,13853.67487657136
8.1,2.8750508e-10,13636.600441958646
8.2,1.8037888e-10,12499.098717266916
8.3,1.14379e-10,11896.342385652315
8.4,2.6978052e-11,11228.046888321349
8.5,0.0,0.0
8.6,0.0,0.0
8.7,3.662721e-12,13692.728430881614
8.8,8.425627e-07,13446.79948998879
8.9,4.5937695e-06,11331.246570859681
9.0,0.0036564425,3085.0102749786565
9.1,0.023874737,2558.8779159367323
9.2,0.00055532285,11893.48334067064
9.3,0.01913022,8086.711815753542
9.4,0.0037173433,7419.688312622768
9.5,0.018416936,5854.898643960329
9.6,0.011738325,12012.775307971106
9.7,0.021986442,4058.73101627868
9.8,0.004753658,2566.963467979857
9.9,0.016764643,2280.520908111091
10.0,0.022262346,2428.383675218851
10.1,0.014187207,5505.641858738806
10.2,0.009028845,6067.557908100306
10.3,0.0005307191,5241.7127650210405
10.4,2.6250445e-05,11980.192479488373
10.5,4.160395e-06,13338.909548048134
10.6,5.957782e-07,14224.851092328694
10.7,3.4737693e-09,13473.43649675321
10.8,8.254431e-12,10126.526924885678
10.9,2.1125136e-11,11601.944751271301
11.0,4.0345748e-11,10976.94506273088
11.1,6.662003e-11,12020.01868088606
11.2,7.026679e-11,12047.6864656182
11.3,5.108009e-11,11801.600695842992
11.4,3.759201e-11,11244.273897343423
11.5,1.6981512e-15,11698.814222765337
11.6,0.0,0.0
11.7,0.0,0.0
11.8,0.0,0.0
11.9,0.0,0.0
12.0,0.0,0.0
12.1,0.0,0.0
12.2,0.0,0.0
12.3,0.0,0.0
12.4,0.0,0.0
12.5,0.0,0.0
12.6,0.0,0.0
12.7,0.0,0.0
12.8,0.0,0.0
12.9,7.657461e-11,11141.53184779585
13.0,1.6943731e-10,12450.147344624127
13.1,2.8358943e-10,12378.203553320898
13.2,3.2413935e-10,13249.607901296487
13.3,3.6596845e-10,13716.470941948792
13.4,4.3207396e-10,13200.796875231053
13.5,4.5752532e-10,13488.10486284007
13.6,4.924223e-10,13645.189264540253
13.7,1.9201765e-09,13936.423973661707
13.8,4.1833792e-07,14311.423319536381
13.9,2.9522898e-06,14439.193715393105
14.0,1.4603753e-05,15009.756208769955
14.1,0.014388493,1084.344433583355
14.2,0.00013066229,9123.07497956433
14.3,0.0075086285,7454.54191654183
14.4,0.023927832,4998.255442771747
14.5,0.031738658,1151.1516020090467
14.6,0.018162768,2283.404783091048
