timestamp_sec,amplitude_rms,frequency_centroid_hz
0.0,0.0,0.0
0.1,0.0,0.0
0.2,0.0,0.0
0.3,0.0,0.0
0.4,0.0,0.0
0.5,0.0,0.0
0.6,0.0,0.0
0.7,0.0,0.0
0.8,0.0,0.0
0.9,0.0,0.0
1.0,0.0,0.0
1.1,0.0,0.0
1.2,0.0,0.0
1.3,0.0,0.0
1.4,0.0,0.0
1.5,0.0,0.0
1.6,0.0,0.0
1.7,0.0,0.0
1.8,0.0,0.0
1.9,0.0,0.0
2.0,0.0,0.0
2.1,0.0,0.0
2.2,0.0,0.0
2.3,0.0,0.0
2.4,0.0,0.0
2.5,0.0,0.0
2.6,0.0,0.0
2.7,0.0,0.0
2.8,0.0,0.0
2.9,0.0,0.0
3.0,0.0,0.0
3.1,0.0,0.0
3.2,0.0,0.0
3.3,0.0,0.0
3.4,0.0,0.0
3.5,0.0,0.0
3.6,0.0,0.0
3.7,0.0,0.0
3.8,1.4372524e-19,11844.852495903438
3.9,2.3459533e-07,11948.713743512719
4.0,2.338677e-07,12205.80973937058
4.1,2.3649176e-07,12204.114844407897
4.2,2.3558411e-07,11969.267628701573
4.3,2.3883112e-07,11911.769211224964
4.4,2.425197e-07,11957.893356518169
4.5,2.3677767e-07,12164.927603956961
4.6,2.4273953e-07,11943.198143137806
4.7,2.3525253e-07,12056.860754796871
4.8,2.3054325e-07,11849.611407513861
4.9,2.3772819e-07,12111.228226805792
5.0,2.392339e-07,11997.179184610304
5.1,2.3891465e-07,12113.616871153368
5.2,0.059931867,2010.5123725116819
5.3,0.057417776,1433.5175011269278
5.4,0.09557668,2467.2653713234895
5.5,0.09873829,2490.5780487500742
5.6,0.06926922,2993.9305385353164
5.7,0.019610908,11431.310065369027
5.8,0.040282663,4157.6271933476855
5.9,0.018232586,2311.749420216694
6.0,0.025165005,3161.9003310440125
6.1,0.001051137,3941.722325503756
6.2,2.3727716e-07,11817.791805645582
6.3,2.3564486e-07,11916.311533311642
6.4,2.3631749e-07,12205.469466970584
6.5,2.3589502e-07,11785.04456508577
6.6,0.024182826,614.9242770149898
6.7,0.09869529,3274.589964922312
6.8,0.07402146,2737.9733592020425
6.9,0.009050746,2089.5408086413313
7.0,0.04244742,3823.492444507372
7.1,0.03270198,8346.170570520735
7.2,0.0021255475,6151.404021647655
7.3,0.027176348,3735.7651272870244
7.4,0.02518122,3401.632927860008
7.5,0.04123607,3061.0693472781254
7.6,0.039503507,3379.003902024138
7.7,0.037619065,3461.4407303121
7.8,0.04305928,3717.4268609163923
7.9,0.010938207,6414.597834522745
8.0,0.0076389685,6789.842294032063
8.1,0.005256974,4560.240140588714
8.2,0.02131376,2862.580952780703
8.3,0.0066941176,6435.30434840914
8.4,0.032273833,2718.43520092783
8.5,0.01858329,11469.08446588197
8.6,0.024605107,3520.6196290029616
8.7,0.028964417,2769.275660114932
8.8,0.024038047,4573.954241443198
8.9,0.028232524,3546.526254735174
9.0,0.017432095,9118.141652070699
9.1,0.03035974,3584.025759015579
9.2,0.024598174,2683.0799281954924
9.3,0.034053043,1160.5812313208357
9.4,0.026748938,6002.914331093879
9.5,0.015029032,9625.068584760107
9.6,0.028183395,2841.12723785205
9.7,0.010247082,6166.97045600813
9.8,0.008020768,3813.9887481711776
9.9,2.3337948e-07,11914.267531624504
10.0,2.4211343e-07,11763.078813002863
10.1,2.4122693e-07,12119.846707001543
10.2,2.3610451e-07,11794.591210156312
10.3,0.0,0.0
10.4,0.0,0.0
10.5,0.0,0.0
10.6,1.9201288e-07,12041.854839748681
10.7,2.3016672e-07,12113.072867883759
10.8,4.6023397e-06,8749.63743490045
10.9,0.087689936,2876.3733010226806
11.0,0.031132404,4429.748306295332
11.1,0.00024463888,5584.701251894187
11.2,0.057081677,2888.302238544442
11.3,0.021802096,3610.9521976050673
11.4,0.008780317,9598.892686727479
11.5,0.017124742,9773.750601962085
11.6,0.016742647,3830.4650207246596
11.7,0.032453008,3526.0704330411627
11.8,0.023545992,4490.318188431474
11.9,0.03710784,3285.5914381832517
12.0,0.019404152,3055.0962602814507
12.1,0.021733336,2022.082769442473
12.2,2.4251253e-07,11799.866732396424
12.3,2.4245887e-07,11875.35797480541
12.4,2.3300566e-07,11774.372768457
12.5,2.3561172e-07,11939.508897312919
12.6,2.3754204e-07,12189.506196796752
12.7,2.315793e-07,12174.809738557826
12.8,0.030510785,1687.4790256260785
12.9,0.06510609,1994.6126732609303
13.0,0.038760122,3139.7824176006006
13.1,0.0004783689,4060.429061567358
13.2,0.08255893,2314.94627012217
13.3,0.03837651,1861.6652301673323
13.4,0.04902311,2724.0020268198914
13.5,0.04375631,2963.6231612909005
13.6,0.020730225,10379.613431094498
13.7,0.06579212,3693.686246640132
13.8,0.03911253,2739.721252260911
13.9,0.014737282,3079.3709750726666
14.0,0.023985468,7589.86086130289
14.1,0.010579148,3108.573081627059
14.2,0.023744538,3226.9625672379316
