timestamp_sec,amplitude_rms,frequency_centroid_hz
0.0,3.0264403e-08,12132.156168025147
0.1,4.150398e-08,12035.923091532566
0.2,4.1899167e-08,12170.120664608901
0.3,4.249526e-08,11907.66480507105
0.4,4.2739487e-08,11902.76441943031
0.5,4.2556447e-08,11925.083792163208
0.6,4.216742e-08,12213.916356764372
0.7,4.284084e-08,12022.31093487248
0.8,4.278006e-08,11762.87990874954
0.9,4.194055e-08,12141.934218434699
1.0,4.1315467e-08,12027.494920457619
1.1,4.2739487e-08,11879.519746011127
1.2,4.127346e-08,11888.562192370984
1.3,4.3303995e-08,12037.490483046042
1.4,4.1899167e-08,12175.486885182381
1.5,4.261755e-08,12139.29561929686
1.6,4.144124e-08,11890.589374207393
1.7,4.156663e-08,12288.336819449056
1.8,4.1545757e-08,11804.696776962031
1.9,4.2576826e-08,12037.149932927206
2.0,4.1315467e-08,11953.865157683027
2.1,4.181628e-08,11941.29328088161
2.2,4.1126093e-08,12310.676057294815
2.3,4.1315467e-08,12032.169331536606
2.4,4.023055e-08,11966.114359088493
2.5,4.1104997e-08,11912.851740558723
2.6,6.8437956e-08,11931.880039883283
2.7,6.904361e-08,12153.386829935129
2.8,6.437588e-08,11752.270443697511
2.9,6.9419464e-08,11785.002943488593
3.0,6.601231e-08,12158.937425954802
3.1,6.8069426e-08,11779.777950134814
3.2,1.8900808e-05,4034.18593907611
3.3,1.4618119e-05,5661.203708226438
3.4,1.3796933e-05,6307.069336111127
3.5,0.0049634897,10156.630432881
3.6,0.058627453,1698.29085121017
3.7,0.008060764,992.9323081870692
3.8,0.0039836373,3749.506427364385
3.9,0.008799682,3187.0878717504947
4.0,0.018736815,1720.9607302999643
4.1,0.011796305,2174.803187961426
4.2,0.0017465827,1910.8747945705863
4.3,0.0022283,9046.350247013463
4.4,0.009072398,2768.9763954739233
4.5,0.005064821,1988.1639132710939
4.6,0.014752484,2496.703991922432
4.7,0.014287162,2457.713401996466
4.8,0.0022226418,4242.426079450421
4.9,0.01604832,570.9772199592921
5.0,0.027869485,1281.1209153418602
5.1,0.005929989,2096.1878990092637
5.2,9.368272e-05,3762.2537845868274
5.3,3.669876e-05,4179.456058149764
5.4,3.3164637e-05,2625.8274359559928
5.5,2.4343773e-05,3225.65376574913
5.6,2.5784697e-05,2978.751062959553
5.7,1.5886415e-05,4514.046601561816
5.8,2.3024077e-05,4627.526809512787
5.9,2.0008174e-05,4890.57601915103
6.0,0.057314932,465.5087048696231
6.1,0.066853225,1728.2500552454294
6.2,0.022776578,7815.30420305412
6.3,0.018163236,1283.296451125351
6.4,0.014080657,1935.6578793233932
6.5,0.009863322,1337.1159695454967
6.6,0.0018880573,1407.5250178583765
6.7,0.03360634,1244.372666263099
6.8,0.025037142,1353.5876702939336
6.9,0.0055979607,1112.0982567670335
7.0,0.0018711473,3782.301348532516
7.1,0.009754559,3295.324094205759
7.2,0.0056327954,2267.733677505641
7.3,0.0020017996,4653.0467223547785
7.4,0.018512327,2041.2078612412572
7.5,0.03208856,1234.6997593405874
7.6,0.019690394,5009.120620252015
7.7,0.012362695,923.0402305246895
7.8,0.007632898,1612.6557644760187
7.9,0.012936682,2651.227698666243
8.0,0.011947496,1238.235497035127
8.1,0.0080951825,1227.303090574141
8.2,0.010571149,2045.3837561933276
8.3,0.0033307006,1477.030242642413
8.4,0.005947619,2516.2467852993195
8.5,0.031265188,1344.726746506562
8.6,0.012564436,793.5309109957626
8.7,0.016119175,2701.69789506717
8.8,0.004633463,2099.840151702405
8.9,0.0039359904,7791.312717178821
9.0,0.003893402,7046.331008075212
9.1,0.05004212,969.7456013268458
9.2,0.006065184,6877.058552769628
9.3,0.005279958,7422.032952084051
9.4,0.013093156,2500.9175253665016
9.5,0.009542433,2042.1906940972644
9.6,0.0018002837,1590.2229117648887
9.7,4.0307856e-05,5998.18960769461
9.8,3.6194964e-05,5049.494247760185
9.9,2.5788864e-05,4340.626877687708
10.0,2.3928023e-05,3369.5333771670985
10.1,1.4663322e-05,3213.7226266571674
10.2,1.9156856e-05,3819.8158237667813
10.3,1.2761869e-05,4695.7727620821515
10.4,2.4299394e-05,2513.1501103573937
10.5,1.6693737e-05,4095.22362112251
10.6,1.7502516e-05,5127.211756228967
10.7,7.533302e-06,10866.639196630324
10.8,1.2320517e-05,6585.700203858906
10.9,1.0306735e-05,6869.967343639204
11.0,1.6029053e-05,5439.048630093964
11.1,1.5537726e-05,6394.546886176059
11.2,1.3956736e-05,4729.6609472738
11.3,1.2318962e-05,7381.171872342456
11.4,1.7808059e-05,4788.893801606093
11.5,1.1829089e-05,6071.7254073831555
11.6,0.006703353,8183.642892973033
11.7,0.05905596,1286.5469972877813
11.8,0.01340312,1990.388020166673
11.9,0.011705808,2024.803864334488
12.0,0.0159968,2272.094750048603
12.1,0.011019006,1848.1311141430701
12.2,0.010056458,1513.4078834062027
12.3,0.00637271,2983.4859602546044
12.4,0.009933149,3160.2340585782995
12.5,0.0059007527,8649.787766596708
12.6,0.0014919776,6655.171630175417
12.7,0.04019011,1668.1857009988578
12.8,0.01419964,2092.0797690307204
12.9,0.00030796384,3243.189375056749
13.0,5.1802876e-05,5137.634755312015
13.1,4.3308937e-05,4507.693703056951
13.2,3.2038977e-05,3391.251830687928
13.3,2.3819524e-05,3590.6509064456777
13.4,1.5600377e-05,3509.86319495459
13.5,1.0652675e-05,6026.128224419637
13.6,2.1756834e-05,5720.964880644502
13.7,0.05451888,1021.906948103027
13.8,0.054258555,1951.5932696135867
13.9,0.007885398,1773.6319505246543
14.0,0.010548417,2161.0219954206873
14.1,0.03676145,669.6762047482023
14.2,0.022616852,778.0816139462563
14.3,0.008318706,1360.1032465522906
14.4,0.0014705855,8844.285872684613
14.5,0.0026227948,5800.804017495079
14.6,0.0188562,2393.8246204763072
14.7,0.0017420715,5336.75767840961
14.8,0.018031955,1472.3524359795651
14.9,0.017093938,1565.1477545203097
15.0,0.016498778,467.505350523326
15.1,0.015400518,1870.1688120734825
15.2,0.012625893,784.8591134426343
15.3,4.1483077e-08,11942.196023923145
15.4,4.237262e-08,11977.286207332523
15.5,4.150398e-08,12031.560870682682
15.6,4.3243865e-08,12071.538712961186
15.7,4.173323e-08,11740.188633827813
15.8,4.284084e-08,12034.471978075118
15.9,4.1545757e-08,12333.34023731004
16.0,4.0916134e-06,6455.302533180046
16.1,1.1803477e-05,6837.113055823082
16.2,0.03253061,430.114983666074
16.3,0.06702407,1654.857959565899
16.4,0.0015290525,1460.4964090301523
16.5,0.031318113,1298.965705526716
16.6,0.017601559,616.8491719264216
16.7,0.0035200561,1325.9387648175004
16.8,0.0016782342,2551.621833170316
16.9,0.004210766,3993.313254062146
17.0,0.0016310884,3247.818633136031
17.1,0.01470398,1721.5241851553428
17.2,0.06299045,335.6680723167848
17.3,0.01619557,1303.9534603423244
17.4,0.023072606,1676.755311623298
17.5,0.028253749,1098.2324355496635
