timestamp_sec,amplitude_rms,frequency_centroid_hz
0.0,2.2813032e-07,4114.646678305078
0.1,2.5502598e-07,4249.7493025279955
0.2,1.3193262e-07,5116.260144778579
0.3,7.248777e-08,8395.459613381536
0.4,6.6509735e-08,8788.888028895428
0.5,4.910464e-08,7911.148891596056
0.6,5.6803042e-08,8614.359672374463
0.7,9.709444e-06,5044.137666532402
0.8,0.02012676,2831.6843656683836
0.9,0.009667491,2438.6155449990433
1.0,0.001257648,1218.804729445998
1.1,0.0030456984,4399.297224767051
1.2,0.037404865,2577.0554418877805
1.3,0.03216972,1994.3514899255774
1.4,0.004204866,901.8638640807577
1.5,0.011384379,2580.9204719425534
1.6,0.013787717,1855.3772057632586
1.7,0.010484334,937.8952917282269
1.8,0.008875148,2179.5243970221068
1.9,0.0040669343,5609.85479988129
2.0,0.008499008,2215.17930661816
2.1,0.010283721,1732.2393334005576
2.2,0.00094280177,1343.8183462716459
2.3,0.004080842,3122.882700748383
2.4,0.0063179927,2428.55890563753
2.5,0.0008059857,4262.858457149614
2.6,0.00029919774,1452.6840841054584
2.7,0.0050686747,2805.19870634788
2.8,0.0013077356,2108.5770895673245
2.9,0.0003571178,1364.4477928524518
3.0,0.00017841226,1555.3501634970974
3.1,1.9995492e-05,3907.077083435752
3.2,7.3991064e-06,6258.26148190859
3.3,7.6209544e-06,6466.3682672073355
3.4,6.427046e-06,6509.002985522585
3.5,6.583482e-06,6928.9450210355735
3.6,6.979244e-06,6413.0565298975025
3.7,7.647967e-06,5975.5198410471585
3.8,6.0939277e-05,2625.7219494036617
3.9,0.011922073,1140.2820003582192
4.0,0.010235473,2297.293386417946
4.1,0.0031402034,2738.889983818757
4.2,0.012867897,2162.4266361854475
4.3,0.005196309,9987.665284633245
4.4,0.008582935,2360.4945439088087
4.5,0.0041924827,2288.93050369138
4.6,0.008200064,2312.6675136351537
4.7,0.004130471,3520.3654912679926
4.8,0.0037747175,2680.4893343776403
4.9,0.00087297935,1811.812010420639
5.0,0.00025829638,1410.520521924256
5.1,7.572095e-05,1986.6861879722217
5.2,1.7155506e-05,4149.964584548222
5.3,1.1372691e-05,4704.196741084133
5.4,7.4363993e-06,6329.125323888576
5.5,6.7572155e-06,6458.862047821739
5.6,8.329953e-06,5967.047625922845
5.7,7.5882344e-06,6252.061537882128
5.8,0.005815633,2621.2023356383297
5.9,0.017423743,2295.4660158148963
6.0,0.024373,2476.555370746093
6.1,0.004097369,3452.2655636011714
6.2,0.007666543,2289.183610271397
6.3,0.007892465,3515.783094353816
6.4,0.00981242,1919.6507589412722
6.5,0.013858746,2254.3152474056315
6.6,0.0042742854,7881.491262365371
6.7,0.015125304,2206.515454267562
6.8,0.00279574,3277.4851646950933
6.9,0.00077347533,1352.038331749098
7.0,0.012331914,7104.668206216136
7.1,0.020748412,2489.664835255692
7.2,0.001617304,1499.9592300756756
7.3,0.006094049,3182.471967112425
7.4,0.011966995,2612.197106629403
7.5,0.0064249393,1218.9138395195503
7.6,0.005416419,2795.741757759777
7.7,0.005598813,1478.4218482402734
7.8,0.007291194,2023.1296197452596
7.9,0.0019886082,4754.233507448256
8.0,0.013620014,2162.0363391175015
8.1,0.0007958103,1496.403545143009
8.2,0.009941841,2560.5864417515813
8.3,0.0038615654,2624.770095610976
8.4,0.0005574497,2517.4327056932107
8.5,0.0029527622,3361.5383045629983
8.6,0.0044188295,2512.199031407401
8.7,0.0014453314,1987.0006457336176
8.8,0.00038608865,1206.870347273545
8.9,0.00013231125,1608.1214263154466
9.0,2.6820504e-05,3402.2799497167107
9.1,5.386775e-06,7368.1229187588715
9.2,5.4022807e-06,8054.103107821775
9.3,5.5235982e-06,7610.810599818378
9.4,0.00105631,3498.7310025547185
9.5,0.008707279,8688.674682023564
9.6,0.007016953,3360.5849336996007
9.7,0.023676269,1956.3665964881122
9.8,0.020696461,1785.5205371635457
9.9,0.003720981,4195.847927327288
10.0,0.018035779,1991.2676880412223
10.1,0.008459101,1566.7030544487845
10.2,0.009588074,1928.7383740413686
10.3,0.013370148,1844.3094666835923
10.4,0.006556526,5134.368471893763
10.5,0.006870536,8415.72670367555
10.6,0.018699279,2217.0893532979944
10.7,0.02238389,2159.005346761104
10.8,0.0023458672,1302.4946067745002
10.9,0.0050318157,3293.354703736244
11.0,0.0049477764,3007.6705782654744
11.1,0.0014360186,4542.296914675728
11.2,0.00033107316,1425.7050168300827
11.3,0.0030118532,3332.4533985033872
11.4,0.0013945996,2087.9188041715306
11.5,0.00025683222,1548.0246704946312
11.6,0.00010251671,1796.6180139133403
11.7,2.1108484e-05,4109.654142467065
11.8,5.150067e-06,7492.112334155664
11.9,4.920027e-06,7908.488274045055
12.0,4.9854966e-06,7216.137565502493
12.1,5.1367197e-06,7415.3675285806385
12.2,5.4912366e-06,7343.434773661115
12.3,5.3232075e-06,7693.304335747314
12.4,8.303064e-06,6286.352689879337
12.5,0.0047983797,7201.494990105097
12.6,0.012012694,7006.706836403331
12.7,0.018585151,2531.1135516591817
12.8,0.0069533954,8802.878101023529
12.9,0.02332288,2342.1925230866386
13.0,0.016812073,1366.9203370745317
13.1,0.00822329,2211.2828529811163
13.2,0.0014525987,1062.1813564512802
13.3,0.00056818017,1195.3120570000679
13.4,0.011533773,2417.6399104440334
13.5,0.0031537595,3004.9253704035473
13.6,0.000701348,2386.1021729997337
13.7,0.00023889713,1464.9105278893062
13.8,0.004212317,2845.6421180750567
13.9,0.0007308337,1819.2143867287812
14.0,0.00028236426,1482.1594460181666
14.1,9.306301e-05,1828.1364804185625
14.2,9.393983e-06,5427.193078130841
14.3,6.596913e-06,7896.788837096266
14.4,4.927545e-06,7905.278912926946
14.5,5.622958e-06,7246.015378239257
14.6,5.169841e-06,7211.302452011381
14.7,4.9606724e-06,7912.476806521724
14.8,5.161177e-06,7791.927053198904
14.9,6.213531e-06,7150.124410045123
15.0,0.00031669758,1306.8871798866778
15.1,0.020898765,1689.6105211950264
15.2,0.011710733,2465.8995736074926
15.3,0.0022090436,3864.973780841321
15.4,0.01031768,3894.2892559371494
15.5,0.0044608037,3122.4291871637656
15.6,0.010766501,2180.3451548833714
15.7,0.004364572,3553.9751431383957
15.8,0.0049655833,5724.741020668998
15.9,0.00038499138,2178.7706802349653
16.0,0.0020960774,6987.980198139175
16.1,0.011150337,3021.74506862268
16.2,0.0046388945,3195.859535573467
16.3,0.0015180552,2902.9980350603246
16.4,0.0003396883,1562.3623196913345
16.5,7.990653e-05,1892.4537300192196
16.6,3.0106157e-05,3565.694182430406
16.7,5.9955355e-06,6873.52218379435
16.8,0.00017830885,2267.210724668126
16.9,0.0045020944,7399.358715638845
17.0,0.007031138,7048.2677292386525
17.1,0.018180368,2728.2690581287716
17.2,0.0015797149,2047.18855647674
17.3,0.000754699,1150.7436209152097
17.4,0.00027703305,1359.629826618601
17.5,0.0122965695,3482.8995062169433
17.6,0.019651975,2038.5137496018483
17.7,0.00925638,1777.0941529269594
17.8,0.005566562,7168.562528423168
17.9,0.014160747,2141.834245076446
18.0,0.008430146,1651.6858198962027
18.1,0.01368157,2027.386835662517
18.2,0.0035531602,2598.303721176546
18.3,0.0028089937,2630.3765656969126
18.4,0.0012793654,2215.85321237051
18.5,0.0002938611,1284.0343052038215
18.6,7.3645606e-05,1998.2038192453224
18.7,2.9206598e-05,3378.1909810870875
18.8,1.2796918e-05,5880.9592215287685
18.9,7.4777518e-06,6038.161072675606
19.0,8.002827e-06,6708.527754765038
19.1,0.015164994,1980.6056419331544
19.2,0.0052375486,1356.6261175188856
19.3,0.010055901,2198.985984428857
19.4,0.0077927266,2225.43797710096
19.5,0.0052631204,2534.868793351901
19.6,0.0034774798,2392.8234161723967
19.7,0.00052847166,1308.4839789799219
19.8,0.00020550267,1480.686108636558
19.9,4.3261512e-05,2558.3148101146094
20.0,1.0419745e-05,5489.80650975038
20.1,5.1552297e-06,7757.290640779459
20.2,5.4087986e-06,7413.5006167639685
20.3,5.126717e-06,7357.293609275843
20.4,4.968955e-06,7443.169425078026
20.5,5.178123e-06,7722.875076058457
20.6,5.5509836e-06,7623.616905006344
20.7,5.1644297e-06,7660.832656854041
20.8,5.2237983e-06,7393.0089439595
20.9,5.249989e-06,7406.032066045853
21.0,5.244937e-06,7443.939172385455
21.1,6.13273e-06,7218.049086596352
21.2,5.020446e-06,7560.665267969256
21.3,5.064308e-06,7531.770554614681
21.4,5.6566028e-06,7467.542287920885
21.5,4.7933427e-06,7609.0255200394095
21.6,5.9602394e-06,7436.007221320637
21.7,5.910441e-06,7041.286637145042
