timestamp_sec,amplitude_rms,frequency_centroid_hz
0.0,1.1039971e-05,3257.831330212669
0.1,2.7339222e-05,3740.9613718188875
0.2,3.0397832e-05,3436.6856291952954
0.3,2.6030544e-05,3853.6921740355156
0.4,3.583468e-05,3516.020252645248
0.5,3.8385526e-05,3433.448563788765
0.6,3.4134566e-05,3408.3254925334677
0.7,3.6384994e-05,3006.8701884086763
0.8,3.1005926e-05,3524.155975797399
0.9,2.587035e-05,3557.47522758476
1.0,2.6516129e-05,3928.804959177825
1.1,2.306153e-05,4188.326797314034
1.2,2.5416777e-05,3835.1529403571762
1.3,2.428625e-05,3824.1914586357243
1.4,3.072264e-05,3893.2012048369556
1.5,2.3242754e-05,4111.720005633444
1.6,3.0223986e-05,3996.885192719629
1.7,4.911137e-05,3086.933206935747
1.8,4.9621594e-05,2845.996420454
1.9,5.8601672e-05,3140.895455408938
2.0,7.793041e-05,2921.7595908297867
2.1,9.857637e-05,3032.079729861749
2.2,0.014389705,564.0208600687023
2.3,0.020834897,842.4266969354694
2.4,0.018797401,808.1966669783629
2.5,0.012049043,1165.9144087336658
2.6,0.016827516,814.2296472126204
2.7,0.005066884,1254.8099664235108
2.8,0.0007243393,2416.1681816813552
2.9,0.00071307237,2289.44218245924
3.0,0.0005330446,2567.055010334478
3.1,0.00050746347,2646.14134820426
3.2,0.0006205576,2793.58730943958
3.3,0.0007399213,1502.670710670941
3.4,0.0006597252,1530.6045038589023
3.5,0.0006421953,1606.600472734525
3.6,0.00089354505,1410.2359699998246
3.7,0.00095763645,1244.450465340649
3.8,0.00083375763,1291.2788857615406
3.9,0.0008864856,1310.2764625297034
4.0,0.001198448,1132.7004934550928
4.1,0.0011218821,1144.1099150766536
4.2,0.0048521115,7389.011027497756
4.3,0.0606539,2635.8036962493306
4.4,0.13479905,603.8542761900605
4.5,0.06248239,1507.533665603357
4.6,0.044765614,2044.7829589405892
4.7,0.008906548,2126.980165451947
4.8,0.0028579556,5578.365426009832
4.9,0.04568601,2501.375551305129
5.0,0.061404154,1638.9730187408359
5.1,0.087495126,1002.1541648669498
5.2,0.014505019,512.2019796987445
5.3,0.04206896,1175.0524135816092
5.4,0.03312096,1606.2446110346798
5.5,0.028788848,1647.9606144890106
5.6,0.0015163313,1811.910355587422
5.7,0.0020123464,4212.4281503899365
5.8,0.017617283,1575.9894999087737
5.9,0.050680578,883.9996768839167
6.0,0.0023298752,1822.5642077541054
6.1,0.0011077625,1934.5252992637968
6.2,0.0018595628,1352.8965267935025
6.3,0.0017059363,927.1090202295591
6.4,0.0012846494,918.7403723359064
6.5,0.0011786647,1018.2907942981582
6.6,0.0017803245,857.6563095919241
6.7,0.0016591158,889.3695174119135
6.8,0.0012412575,1021.1903653341369
